"";"Regioni";"Popolazione al 31.12.2019";"Popolazione Maschi al 31.12.19";"Popolazione Femmine al 31.12.2019";"Popolazione al 01.01.2019";"Nati vivi";"Morti";"Saldo naturale";"Tasso di natalità";"Tasso di mortalità";"Tasso migratorio interno";"Tasso migratorio estero";"Differenza 2019-2018";"Nati vivi per 1000 di popolazione";"Morti per 1000 di popolazione";"Saldo Naturale per 1000 di popolazione"
"1";"Piemonte";4341375;2109314;2232061;4359520;27977;53140;-25163;6,4;12,2;1,3;3,1;-18145;6,44427168811724;12,2403616365783;-5,79608994846103
"2";"Valle d'Aosta/Vallée d'Aoste";125501;61325;64176;126098;841;1392;-551;6,7;11,1;0,9;1,6;-597;6,70114182357113;11,0915450872901;-4,39040326371901
"3";"Lombardia";10103969;4949770;5154199;10087648;73139;99986;-26847;7,2;9,9;2,7;3,4;16321;7,23864057777691;9,89571523823955;-2,65707466046264
"4";"Trentino-Alto Adige/Südtirol";1074819;529824;544995;1071758;9473;9529;-56;8,8;8,9;3;1,2;3061;8,81357698365957;8,86567877940379;-0,0521017957442137
"5";"Bolzano-Bozen";532080;263258;268822;530496;5234;4454;780;9,9;8,4;2,6;-0,2;1584;9,836866636596;8,3709216659149;1,4659449706811
"6";"Trento";542739;266566;276173;541262;4239;5075;-836;7,8;9,4;3,4;2,6;1477;7,81038399672771;9,35071922231496;-1,54033522558725
"7";"Veneto";4907704;2403360;2504344;4913951;33560;48902;-15342;6,8;10;1,6;2,5;-6247;6,83822822240298;9,96433362729293;-3,12610540488994
"8";"Friuli-Venezia Giulia";1211357;589215;622142;1215537;7495;14318;-6823;6,2;11,8;2;1,4;-4180;6,18727592278742;11,8198020897225;-5,6325261669351
"9";"Liguria";1543127;739021;804106;1550941;8749;21357;-12608;5,7;13,8;1;4,1;-7814;5,66965648323178;13,840079267617;-8,17042278438521
"10";"Emilia-Romagna";4467118;2174599;2292519;4463320;30926;50273;-19347;6,9;11,3;4,1;3,9;3798;6,92303180708457;11,2540120945988;-4,33098028751423
"11";"Toscana";3722729;1798279;1924450;3732511;23462;43676;-20214;6,3;11,7;1,6;4,5;-9782;6,30236581819413;11,7322534087225;-5,42988759052835
"12";"Umbria";880285;424592;455693;883824;5578;10263;-4685;6,3;11,6;0,1;3;-3539;6,3365841744435;11,6587241631971;-5,32213998875364
"13";"Marche";1518400;738259;780141;1526444;9670;17442;-7772;6,4;11,5;0,2;1,9;-8044;6,36854583772392;11,4870916754478;-5,11854583772392
"14";"Lazio";5865544;2832324;3033220;5885023;38890;56793;-17903;6,6;9,7;-0,2;3,4;-19479;6,63024606072344;9,68247787417501;-3,05223181345157
"15";"Abruzzo";1305770;637388;668382;1312974;8503;14612;-6109;6,5;11,2;-1;2,5;-7204;6,51186656149245;11,1903321411887;-4,67846557969627
"16";"Molise";302265;148764;153501;305741;1927;3663;-1736;6,3;12;-4,5;2,7;-3476;6,3752005690371;12,1185052850975;-5,74330471606041
"17";"Campania";5785861;2820555;2965306;5815546;46746;53862;-7116;8,1;9,3;-3,8;1,1;-29685;8,07935067918154;9,30924541740633;-1,22989473822479
"18";"Puglia";4008296;1950256;2058040;4031023;27588;39142;-11554;6,9;9,7;-3;1,1;-22727;6,88272522787738;9,76524687797508;-2,8825216500977
"19";"Basilicata";556934;273941;282993;562381;3672;6508;-2836;6,6;11,6;-5,2;1,4;-5447;6,59324085080099;11,6854061702105;-5,09216531940948
"20";"Calabria";1924701;942644;982057;1944003;14491;20165;-5674;7,5;10,4;-5,8;1,3;-19302;7,52896164131468;10,4769520044932;-2,94799036317849
"21";"Sicilia";4968410;2416233;2552177;5003819;38625;52406;-13781;7,7;10,5;-3,9;0,6;-35409;7,77411687038711;10,5478412610876;-2,77372439070045
"22";"Sardegna";1630474;800902;829572;1641298;8858;17003;-8145;5,4;10,4;-0,9;0,5;-10824;5,43277599029485;10,428255832353;-4,9954798420582
"23";"Italia";60244639;29340565;30904074;60433360;420170;634432;-214262;7;10,5;0;2,5;-188721;6,97439651020234;10,5309287354183;-3,55653222521592
